IP:PORT, LOSS, DELAY
162.159.195.135:7559,100.00%,1000 ms
162.159.195.200:7559,100.00%,1000 ms
188.114.99.176:8886,100.00%,1000 ms
162.159.195.121:7559,100.00%,1000 ms
162.159.193.38:7559,100.00%,1000 ms
162.159.193.211:7559,100.00%,1000 ms
162.159.195.134:7559,100.00%,1000 ms
162.159.193.66:7559,100.00%,1000 ms
162.159.193.215:7559,100.00%,1000 ms
162.159.193.127:8886,100.00%,1000 ms
162.159.204.189:8886,100.00%,1000 ms
162.159.195.135:8886,100.00%,1000 ms
162.159.192.98:8886,100.00%,1000 ms
188.114.98.206:8886,100.00%,1000 ms
188.114.96.246:8886,100.00%,1000 ms
188.114.98.146:8886,100.00%,1000 ms
188.114.97.144:7559,100.00%,1000 ms
188.114.99.207:7559,100.00%,1000 ms
162.159.204.131:8886,100.00%,1000 ms
162.159.204.189:7559,100.00%,1000 ms
188.114.99.80:8886,100.00%,1000 ms
188.114.96.83:8886,100.00%,1000 ms
188.114.99.31:7559,100.00%,1000 ms
188.114.97.35:7559,100.00%,1000 ms
162.159.195.33:7559,100.00%,1000 ms
188.114.96.87:7559,100.00%,1000 ms
188.114.98.29:8886,100.00%,1000 ms
162.159.204.183:7559,100.00%,1000 ms
188.114.97.225:8886,100.00%,1000 ms
188.114.99.80:7559,100.00%,1000 ms
162.159.195.78:8886,100.00%,1000 ms
188.114.97.35:8886,100.00%,1000 ms
162.159.193.215:8886,100.00%,1000 ms
162.159.195.65:7559,100.00%,1000 ms
162.159.204.102:7559,100.00%,1000 ms
188.114.98.231:7559,100.00%,1000 ms
188.114.97.201:7559,100.00%,1000 ms
188.114.99.231:8886,100.00%,1000 ms
188.114.96.203:7559,100.00%,1000 ms
188.114.99.98:8886,100.00%,1000 ms
188.114.98.231:8886,100.00%,1000 ms
162.159.192.203:8886,100.00%,1000 ms
188.114.98.169:8886,100.00%,1000 ms
188.114.97.145:7559,100.00%,1000 ms
188.114.98.20:8886,100.00%,1000 ms
188.114.96.110:7559,100.00%,1000 ms
188.114.97.71:8886,100.00%,1000 ms
188.114.96.60:8886,100.00%,1000 ms
188.114.97.214:7559,100.00%,1000 ms
188.114.98.169:7559,100.00%,1000 ms
188.114.99.84:7559,100.00%,1000 ms
162.159.192.119:7559,100.00%,1000 ms
188.114.97.137:8886,100.00%,1000 ms
162.159.192.203:7559,100.00%,1000 ms
162.159.192.250:8886,100.00%,1000 ms
162.159.192.224:8886,100.00%,1000 ms
188.114.97.1:7559,100.00%,1000 ms
188.114.97.225:7559,100.00%,1000 ms
162.159.193.38:8886,100.00%,1000 ms
162.159.195.200:8886,100.00%,1000 ms
188.114.98.66:7559,100.00%,1000 ms
188.114.99.207:8886,100.00%,1000 ms
162.159.192.56:8886,100.00%,1000 ms
162.159.193.127:7559,100.00%,1000 ms
188.114.96.32:7559,100.00%,1000 ms
162.159.192.152:8886,100.00%,1000 ms
162.159.192.164:8886,100.00%,1000 ms
162.159.195.33:8886,100.00%,1000 ms
162.159.192.98:7559,100.00%,1000 ms
162.159.204.84:7559,100.00%,1000 ms
162.159.192.24:7559,100.00%,1000 ms
188.114.97.206:8886,100.00%,1000 ms
188.114.98.209:8886,100.00%,1000 ms
162.159.204.245:7559,100.00%,1000 ms
162.159.192.24:8886,100.00%,1000 ms
162.159.204.211:8886,100.00%,1000 ms
162.159.204.65:7559,100.00%,1000 ms
162.159.195.78:7559,100.00%,1000 ms
188.114.97.235:7559,100.00%,1000 ms
188.114.96.155:7559,100.00%,1000 ms
188.114.99.2:7559,100.00%,1000 ms
188.114.97.123:8886,100.00%,1000 ms
188.114.97.137:7559,100.00%,1000 ms
188.114.97.188:8886,100.00%,1000 ms
188.114.99.91:8886,100.00%,1000 ms
188.114.99.176:7559,100.00%,1000 ms
162.159.195.14:8886,100.00%,1000 ms
188.114.97.206:7559,100.00%,1000 ms
162.159.204.4:8886,100.00%,1000 ms
188.114.98.156:8886,100.00%,1000 ms
162.159.193.52:8886,100.00%,1000 ms
162.159.192.119:8886,100.00%,1000 ms
188.114.98.146:7559,100.00%,1000 ms
162.159.192.224:7559,100.00%,1000 ms
188.114.98.156:7559,100.00%,1000 ms
162.159.193.142:8886,100.00%,1000 ms
162.159.195.204:8886,100.00%,1000 ms
188.114.96.72:8886,100.00%,1000 ms
188.114.96.110:8886,100.00%,1000 ms
188.114.99.87:8886,100.00%,1000 ms
188.114.97.145:8886,100.00%,1000 ms
188.114.99.251:7559,100.00%,1000 ms
188.114.97.214:8886,100.00%,1000 ms
188.114.96.32:8886,100.00%,1000 ms
188.114.98.66:8886,100.00%,1000 ms
188.114.99.2:8886,100.00%,1000 ms
188.114.99.159:8886,100.00%,1000 ms
188.114.98.1:8886,100.00%,1000 ms
188.114.99.132:8886,100.00%,1000 ms
162.159.193.142:7559,100.00%,1000 ms
188.114.97.71:7559,100.00%,1000 ms
162.159.192.61:8886,100.00%,1000 ms
188.114.98.1:7559,100.00%,1000 ms
162.159.195.201:8886,100.00%,1000 ms
162.159.204.4:7559,100.00%,1000 ms
162.159.204.210:8886,100.00%,1000 ms
188.114.97.201:8886,100.00%,1000 ms
188.114.98.193:8886,100.00%,1000 ms
188.114.97.235:8886,100.00%,1000 ms
188.114.97.123:7559,100.00%,1000 ms
188.114.96.68:7559,100.00%,1000 ms
188.114.96.203:8886,100.00%,1000 ms
188.114.99.91:7559,100.00%,1000 ms
162.159.193.122:7559,100.00%,1000 ms
188.114.96.28:7559,100.00%,1000 ms
162.159.204.84:8886,100.00%,1000 ms
188.114.99.87:7559,100.00%,1000 ms
162.159.195.65:8886,100.00%,1000 ms
162.159.204.131:7559,100.00%,1000 ms
162.159.193.131:7559,100.00%,1000 ms
188.114.96.246:7559,100.00%,1000 ms
162.159.204.183:8886,100.00%,1000 ms
188.114.98.193:7559,100.00%,1000 ms
188.114.96.68:8886,100.00%,1000 ms
162.159.204.65:8886,100.00%,1000 ms
188.114.98.209:7559,100.00%,1000 ms
188.114.96.155:8886,100.00%,1000 ms
162.159.193.131:8886,100.00%,1000 ms
162.159.192.152:7559,100.00%,1000 ms
188.114.96.28:8886,100.00%,1000 ms
162.159.193.122:8886,100.00%,1000 ms
188.114.96.60:7559,100.00%,1000 ms
162.159.192.56:7559,100.00%,1000 ms
188.114.97.144:8886,100.00%,1000 ms
188.114.99.132:7559,100.00%,1000 ms
188.114.98.20:7559,100.00%,1000 ms
188.114.97.188:7559,100.00%,1000 ms
162.159.192.164:7559,100.00%,1000 ms
162.159.193.237:7559,100.00%,1000 ms
188.114.99.45:7559,100.00%,1000 ms
188.114.96.87:8886,100.00%,1000 ms
162.159.195.14:7559,100.00%,1000 ms
188.114.97.1:8886,100.00%,1000 ms
